,AdaBoostClassifier,GradientBoostingClassifier,RandomForestClassifier,ExtraTreesClassifier,SupervisedDBNClassification,SVC,OrderedModel
0,0.776,0.808,0.8,0.792,0.216,0.76,0.768
1,0.776,0.808,0.816,0.808,0.248,0.752,0.776
2,0.84,0.864,0.856,0.856,0.216,0.744,0.808
3,0.84,0.856,0.872,0.872,0.784,0.76,0.776
4,0.824,0.816,0.824,0.8,0.216,0.744,0.784
5,0.792,0.808,0.808,0.824,0.784,0.784,0.8
6,0.8,0.808,0.84,0.856,0.216,0.736,0.8
7,0.84,0.848,0.848,0.856,0.784,0.784,0.784
8,0.832,0.824,0.824,0.84,0.784,0.768,0.808
9,0.8,0.832,0.824,0.808,0.216,0.72,0.784
10,0.792,0.816,0.824,0.816,0.216,0.752,0.792
11,0.784,0.856,0.848,0.84,0.216,0.752,0.816
12,0.8,0.808,0.848,0.808,0.216,0.744,0.808
13,0.832,0.856,0.824,0.848,0.784,0.8,0.776
14,0.784,0.84,0.84,0.864,0.216,0.736,0.776
15,0.76,0.76,0.816,0.808,0.216,0.768,0.784
16,0.784,0.84,0.824,0.792,0.784,0.768,0.8
17,0.768,0.832,0.864,0.856,0.216,0.784,0.792
18,0.848,0.864,0.896,0.856,0.784,0.776,0.816
19,0.816,0.832,0.832,0.864,0.216,0.832,0.784
20,0.76,0.816,0.8,0.824,0.216,0.784,0.808
21,0.784,0.808,0.832,0.8,0.784,0.792,0.792
22,0.848,0.808,0.808,0.84,0.216,0.792,0.816
23,0.768,0.8,0.792,0.8,0.216,0.704,0.8
24,0.808,0.832,0.848,0.88,0.784,0.784,0.816
25,0.816,0.856,0.848,0.88,0.784,0.816,0.792
26,0.8,0.824,0.832,0.84,0.216,0.728,0.8
27,0.752,0.824,0.832,0.84,0.216,0.736,0.784
28,0.784,0.84,0.856,0.864,0.784,0.768,0.84
29,0.784,0.84,0.856,0.864,0.216,0.752,0.784
30,0.808,0.848,0.848,0.84,0.784,0.792,0.808
31,0.808,0.872,0.848,0.84,0.784,0.776,0.784
32,0.784,0.816,0.848,0.808,0.784,0.776,0.768
33,0.776,0.824,0.864,0.848,0.544,0.808,0.792
34,0.824,0.856,0.864,0.848,0.784,0.84,0.808
35,0.808,0.824,0.848,0.848,0.784,0.776,0.816
36,0.84,0.872,0.872,0.896,0.784,0.8,0.8
37,0.792,0.784,0.784,0.792,0.216,0.784,0.76
38,0.808,0.848,0.896,0.88,0.784,0.792,0.8
39,0.832,0.872,0.832,0.816,0.216,0.792,0.792
40,0.832,0.864,0.856,0.848,0.216,0.784,0.824
41,0.824,0.864,0.856,0.864,0.216,0.8,0.8
42,0.824,0.832,0.84,0.84,0.784,0.776,0.792
43,0.776,0.816,0.808,0.832,0.376,0.728,0.808
44,0.808,0.816,0.832,0.84,0.216,0.752,0.768
45,0.792,0.816,0.848,0.856,0.784,0.792,0.784
46,0.784,0.8,0.856,0.864,0.216,0.808,0.8
47,0.84,0.832,0.848,0.832,0.784,0.768,0.808
48,0.8,0.832,0.864,0.84,0.784,0.784,0.816
49,0.816,0.84,0.88,0.848,0.784,0.848,0.776
